“west wing”
10, 9, 1, 87
15, 14, 1, 87
20, 19, 1, 87
25, 23, 2, 87
30, 27, 3, 87
35, 30, 5, 87
40, 34, 6, 87
45, 39, 6, 87
50, 44, 6, 87
55, 48, 7, 87
60, 50, 10, 87
65, 53, 12, 87
70, 55, 15, 87
75, 58, 17, 87
80, 61, 19, 87
85, 64, 21, 87
90, 66, 24, 87
95, 67, 28, 87
100, 67, 33, 87
105, 68, 37, 87
110, 68, 42, 87
115, 68, 47, 87
120, 69, 51, 87


brokeback mountain:
10, 6, 4, 280
20, 12, 8, 280
30, 18, 12, 280
40, 22, 18, 280
50, 32, 18, 280
60, 39, 21, 280
70, 47, 23, 280
80, 55, 25, 280
90, 63, 27, 280
100, 70, 30, 280
110, 75, 35, 280
120, 84, 36, 280
130, 94, 36, 280
140, 101, 39, 280
150, 109, 41, 280
160, 117, 43, 280
170, 123, 47, 280
180, 129, 51, 280
190, 133, 57, 280
200, 141, 59, 280
210, 149, 61, 280
220, 154, 66, 280
230, 161, 69, 280
240, 168, 72, 280
250, 174, 76, 280
260, 179, 81, 280
270, 185, 85, 280
280, 191, 89, 280
290, 199, 91, 280
300, 204, 96, 280
310, 207, 103, 280
320, 210, 110, 280
330, 215, 115, 280
340, 220, 120, 280
350, 223, 127, 280
360, 226, 134, 280
370, 226, 144, 280
380, 227, 153, 280
390, 228, 162, 280
400, 230, 170, 280
410, 232, 178, 280
420, 234, 186, 280
430, 234, 196, 280
440, 234, 206, 280
450, 235, 215, 280
460, 236, 224, 280
470, 236, 234, 280
480, 236, 244, 280
490, 237, 253, 280
500, 237, 263, 280
510, 237, 273, 280
520, 238, 282, 280
530, 238, 292, 280
540, 238, 302, 280
550, 238, 312, 280
560, 238, 322, 280
570, 238, 332, 280
580, 239, 341, 280
590, 240, 350, 280
600, 241, 359, 280
610, 242, 368, 280
620, 242, 378, 280
630, 243, 387, 280
640, 245, 395, 280
650, 246, 404, 280
660, 246, 414, 280
670, 246, 424, 280
680, 246, 434, 280
690, 246, 444, 280
700, 246, 454, 280


average precisions  of TREC topics:
0.5581868988615095
0.1844724116093234
0.2961894955754546
0.7599082349850532
0.6784792811928257
0.4530666271996206
0.28912722724434803
0.3474977729038429
0.40657829372677584
0.6621500162677103
0.6700539387786951
0.8367524482712506
0.8256644824511437
0.46928902849268295
0.18552413823164282
0.19516423908959843
0.6589175999178735
0.393260009501183
0.48700328652791014
0.0631001234940448
0.7572757016455505
0.5896630337410537
0.2831898631548109
0.2805284434783591
0.5912697680641216
0.3806881794373804
0.36666666666666664
0.2637305364160526
0.658965119782819
0.7935943704268991
0.24163546754064458
0.7478038125661497
0.2266791526314415
0.6835275806230618
0.5452252139558641
0.7927712149253235
0.0344935064935065
0.8890256530756762
0.55213643853199
0.6339801334704838
0.50509403934278
0.16815755226230028
0.11861728652773429
0.6123523966847079
0.16321080686271575
0.7159968908640735
0.7557586919042293
0.16988198488191802
0.5592867701108678
0.15593199624265644
